character_id,character_name,derived_gender,derived_gender_confidence,source_descriptor,derived_race,derived_faction,derived_base_class,derived_class_title,classification_status,classification_notes,review_needed
char_sharghl,Sharghl,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_shashakar,Shashakar,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_shathur,Shathur,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_shimmer,Shimmer,unknown,,Dúnadan Adventurer,Man,Free Peoples,,Adventurer,generic_title_no_class,race_term=Dúnadan | class_title=Adventurer | base_class_unknown,no
char_shravl,Shravl,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_sibur,Sibur,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_sillian,Sillian,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_simba,Simba,unknown,,Beorning Adventurer,Man,Free Peoples,,Adventurer,generic_title_no_class,race_term=Beorning | class_title=Adventurer | base_class_unknown,no
char_sindorie,Sindorie,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_singha,Singha,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_siroth,Siroth,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_skud,Skud,unknown,,"heading for beautiful, tropical Iraq is a level thirty-one Hill Troll Warrior",Troll,Minions of Sauron,Warrior,Warrior,parser_suspect_or_custom_descriptor,"race_term=Hill Troll | class_title=Warrior | unmatched=heading for beautiful, tropical Iraq is a level thirty-one",yes
char_sloo,Sloo,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_snigel,Snigel,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_spiffdark,Spiffdark,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_spiritus,Spiritus,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_squasher,Squasher,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_stampe,Stampe,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_stile,Stile,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_strine,Strine,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_stussy,Stussy,unknown,,Mountain Troll Softskin,Troll,Minions of Sauron,,Softskin,generic_title_no_class,race_term=Mountain Troll | class_title=Softskin | base_class_unknown,no
char_stylie,Stylie,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_sufur,Sufur,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_sunaire,Sunaire,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_sunshine,Sunshine,unknown,,Cave Troll Adventurer,Troll,Minions of Sauron,,Adventurer,generic_title_no_class,race_term=Cave Troll | class_title=Adventurer | base_class_unknown,no
char_tagrid,Tagrid,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_tarannon,Tarannon,unknown,,Black Númenórean Adventurer,Man,Minions of Sauron,,Adventurer,generic_title_no_class,race_term=Black Númenórean | class_title=Adventurer | base_class_unknown,no
char_tardeer,Tardeer,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_tear,Tear,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_teeny,Teeny,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_temegl,Temegl,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_thalantyr,Thalantyr,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_thanis,Thanis,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_tharain,Tharain,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_tharl,Tharl,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_thedeen,Thedeen,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_theofur,Theofur,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_thezi,Thezi,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_thorak,Thorak,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_thorny,Thorny,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_thoronwe,Thoronwe,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_throin,Throin,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_thror,Thror,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_tia,Tia,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_toe,Toe,unknown,,the key! is a level thirty-five Cave Troll Wrecker,Troll,Minions of Sauron,Warrior,Wrecker,parser_suspect_or_custom_descriptor,race_term=Cave Troll | class_title=Wrecker | unmatched=the key! is a level thirty-five,yes
