source_id,immortal_status,immortal_category,character_key,display_name,is_maiar_muddler,honorary_immortal,evidence_kind,source_order,review_status,notes
2026_06_16_retired_immortals,retired,Valar,Luinil,Luinil,no,no,listed_retired_immortal,57,candidate,
2026_06_16_retired_immortals,retired,Valar,Maedhros,Maedhros,no,no,listed_retired_immortal,58,candidate,
2026_06_16_retired_immortals,retired,Valar,Óin,Óin,no,no,listed_retired_immortal,59,candidate,
2026_06_16_retired_immortals,retired,Valar,Petrel,Petrel,no,no,listed_retired_immortal,60,candidate,
2026_06_16_retired_immortals,retired,Valar,Phier,Phier,no,no,listed_retired_immortal,61,candidate,
2026_06_16_retired_immortals,retired,Valar,Ressaven,Ressaven,no,no,listed_retired_immortal,62,candidate,
2026_06_16_retired_immortals,retired,Valar,Rokee,Rokee,no,no,listed_retired_immortal,63,candidate,
2026_06_16_retired_immortals,retired,Valar,Tinkerbell,Tinkerbell,no,no,listed_retired_immortal,64,candidate,
2026_06_16_retired_immortals,retired,Valar,Vairë,Vairë,no,no,listed_retired_immortal,65,candidate,
2026_06_16_retired_immortals,retired,Valar,Vanidor,Vanidor,no,no,listed_retired_immortal,66,candidate,
2026_06_16_retired_immortals,retired,Valar,Xed,Xed,no,no,listed_retired_immortal,67,candidate,
2026_06_16_retired_immortals,retired,Maiar,Ariakas,Ariakas,no,no,listed_retired_immortal,68,candidate,
2026_06_16_retired_immortals,retired,Maiar,Aule,Aule,no,no,listed_retired_immortal,69,candidate,
2026_06_16_retired_immortals,retired,Maiar,Eolung,Eolung,no,no,listed_retired_immortal,70,candidate,
2026_06_16_retired_immortals,retired,Maiar,Ferumbras,Ferumbras,no,no,listed_retired_immortal,71,candidate,
2026_06_16_retired_immortals,retired,Maiar,Helevorn,Helevorn,no,no,listed_retired_immortal,72,candidate,
2026_06_16_retired_immortals,retired,Maiar,Liliah,Liliah,no,no,listed_retired_immortal,73,candidate,
2026_06_16_retired_immortals,retired,Maiar,Quillis,Quillis,no,no,listed_retired_immortal,74,candidate,
2026_06_16_retired_immortals,retired,Maiar,Rashnak,Rashnak,no,no,listed_retired_immortal,75,candidate,
2026_06_16_retired_immortals,retired,Maiar,Ren,Ren,no,no,listed_retired_immortal,76,candidate,
2026_06_16_retired_immortals,retired,Maiar,Soba,Soba,no,no,listed_retired_immortal,77,candidate,
2026_06_16_retired_immortals,retired,Maiar,Trent,Trent,no,no,listed_retired_immortal,78,candidate,
2026_06_16_retired_immortals,retired,Maiar,Uinen,Uinen,no,no,listed_retired_immortal,79,candidate,
2026_06_16_retired_immortals,retired,Maiar,Varda,Varda,no,no,listed_retired_immortal,80,candidate,
2026_06_16_retired_immortals,retired,Maiar,Aderyn,Aderyn,no,no,listed_retired_immortal,81,candidate,
2026_06_16_retired_immortals,retired,Maiar,Alantir,Alantir,no,no,listed_retired_immortal,82,candidate,
2026_06_16_retired_immortals,retired,Maiar,Alysia,Alysia,no,no,listed_retired_immortal,83,candidate,
2026_06_16_retired_immortals,retired,Maiar,Anthrax,Anthrax,no,no,listed_retired_immortal,84,candidate,
2026_06_16_retired_immortals,retired,Maiar,Ariana,Ariana,no,no,listed_retired_immortal,85,candidate,
2026_06_16_retired_immortals,retired,Maiar,Atanatar,Atanatar,no,no,listed_retired_immortal,86,candidate,
2026_06_16_retired_immortals,retired,Maiar,Belegor,Belegor,no,no,listed_retired_immortal,87,candidate,
2026_06_16_retired_immortals,retired,Maiar,Calebin,Calebin,no,no,listed_retired_immortal,88,candidate,
2026_06_16_retired_immortals,retired,Maiar,Calmacil,Calmacil,no,no,listed_retired_immortal,89,candidate,
2026_06_16_retired_immortals,retired,Maiar,Cardin,Cardin,no,no,listed_retired_immortal,90,candidate,
2026_06_16_retired_immortals,retired,Maiar,Celebsil,Celebsil,no,no,listed_retired_immortal,91,candidate,
2026_06_16_retired_immortals,retired,Maiar,Chay,Chay,no,no,listed_retired_immortal,92,candidate,
2026_06_16_retired_immortals,retired,Maiar,Chicken,Chicken,no,no,listed_retired_immortal,93,candidate,
2026_06_16_retired_immortals,retired,Maiar,Creston,Creston,no,no,listed_retired_immortal,94,candidate,
2026_06_16_retired_immortals,retired,Maiar,Daniel,Daniel,no,no,listed_retired_immortal,95,candidate,
2026_06_16_retired_immortals,retired,Maiar,Destiny,Destiny,no,no,listed_retired_immortal,96,candidate,
2026_06_16_retired_immortals,retired,Maiar,Dorien,Dorien,no,no,listed_retired_immortal,97,candidate,
2026_06_16_retired_immortals,retired,Maiar,Dorin,Dorin,no,no,listed_retired_immortal,98,candidate,
