link_id,player_id,character_id,character_name,main_handle,link_type,status,confidence,primary_evidence_id,notes
link_01434,player_0176,char_cenedra,Cenedra,Beltira,listed_same_player,accepted,medium,evidence_player_group_0176,
link_01435,player_0176,char_milzok,Milzok,Beltira,listed_same_player,accepted,medium,evidence_player_group_0176,
link_01436,player_0176,char_miyahk,Miyahk,Beltira,listed_same_player,accepted,medium,evidence_player_group_0176,
link_01437,player_0176,char_moortek,Moortek,Beltira,listed_same_player,accepted,medium,evidence_player_group_0176,
link_01438,player_0176,char_much,Much,Beltira,listed_same_player,accepted,medium,evidence_player_group_0176,
link_01439,player_0176,char_rulla,Rulla,Beltira,listed_same_player,accepted,medium,evidence_player_group_0176,
link_01440,player_0177,char_bearclaw,Bearclaw,Bearclaw,listed_same_player,accepted,medium,evidence_player_group_0177,
link_01441,player_0177,char_bruise,Bruise,Bearclaw,listed_same_player,accepted,medium,evidence_player_group_0177,
link_01442,player_0177,char_shadoh,Shadoh,Bearclaw,listed_same_player,accepted,medium,evidence_player_group_0177,
link_01443,player_0177,char_teejay,Teejay,Bearclaw,listed_same_player,accepted,medium,evidence_player_group_0177,
link_01444,player_0177,char_tri,Tri,Bearclaw,listed_same_player,accepted,medium,evidence_player_group_0177,
link_01445,player_0178,char_nagoroth,Nagoroth,Nagoroth,listed_same_player,accepted,medium,evidence_player_group_0178,
link_01446,player_0178,char_langolier,Langolier,Nagoroth,listed_same_player,accepted,medium,evidence_player_group_0178,
link_01447,player_0178,char_baradul,Baradul,Nagoroth,listed_same_player,accepted,medium,evidence_player_group_0178,
link_01448,player_0178,char_zar,Zar,Nagoroth,listed_same_player,accepted,medium,evidence_player_group_0178,
link_01449,player_0179,char_delfi,Delfi,Delfi,listed_same_player,accepted,medium,evidence_player_group_0179,
link_01450,player_0179,char_vasa,Vasa,Delfi,listed_same_player,accepted,medium,evidence_player_group_0179,
link_01451,player_0179,char_uffe,Uffe,Delfi,listed_same_player,accepted,medium,evidence_player_group_0179,
link_01452,player_0179,char_cotc,Cotc,Delfi,listed_same_player,accepted,medium,evidence_player_group_0179,
link_01453,player_0179,char_endor,Endor,Delfi,listed_same_player,accepted,medium,evidence_player_group_0179,
link_01454,player_0179,char_foad,Foad,Delfi,listed_same_player,accepted,medium,evidence_player_group_0179,
link_01455,player_0179,char_kalevala,Kalevala,Delfi,listed_same_player,accepted,medium,evidence_player_group_0179,
link_01456,player_0179,char_mauna,Mauna,Delfi,listed_same_player,accepted,medium,evidence_player_group_0179,
link_01457,player_0179,char_rendra,Rendra,Delfi,listed_same_player,accepted,medium,evidence_player_group_0179,
link_01458,player_0180,char_evandaar,Evandaar,Evandaar,listed_same_player,accepted,medium,evidence_player_group_0180,
link_01459,player_0180,char_joan,Joan,Evandaar,listed_same_player,accepted,medium,evidence_player_group_0180,
link_01460,player_0180,char_razoor,Razoor,Evandaar,listed_same_player,accepted,medium,evidence_player_group_0180,
link_01461,player_0180,char_shaolin,Shaolin,Evandaar,listed_same_player,accepted,medium,evidence_player_group_0180,
link_01462,player_0180,char_thezi,Thezi,Evandaar,listed_same_player,accepted,medium,evidence_player_group_0180,
link_01463,player_0180,char_valandar,Valandar,Evandaar,listed_same_player,accepted,medium,evidence_player_group_0180,
link_01464,player_0180,char_anezka,Anezka,Evandaar,listed_same_player,accepted,medium,evidence_player_group_0180,
link_01465,player_0181,char_ancra,Ancra,Ancra,listed_same_player,accepted,medium,evidence_player_group_0181,
link_01466,player_0181,char_eidolon,Eidolon,Ancra,listed_same_player,accepted,medium,evidence_player_group_0181,
link_01467,player_0181,char_eirin,Eirin,Ancra,listed_same_player,accepted,medium,evidence_player_group_0181,
link_01468,player_0181,char_mhur,Mhur,Ancra,listed_same_player,accepted,medium,evidence_player_group_0181,
link_01469,player_0181,char_naksur,Naksur,Ancra,listed_same_player,accepted,medium,evidence_player_group_0181,
link_01470,player_0181,char_valeria,Valeria,Ancra,listed_same_player,accepted,medium,evidence_player_group_0181,
link_01471,player_0181,char_viclona,Viclona,Ancra,listed_same_player,accepted,medium,evidence_player_group_0181,
link_01472,player_0181,char_zilkis,Zilkis,Ancra,listed_same_player,accepted,medium,evidence_player_group_0181,
link_01473,player_0182,char_pumuckl,Pumuckl,Pumuckl,listed_same_player,accepted,medium,evidence_player_group_0182,
link_01474,player_0182,char_eder,Eder,Pumuckl,listed_same_player,accepted,medium,evidence_player_group_0182,
link_01475,player_0182,char_nightwolf,Nightwolf,Pumuckl,listed_same_player,accepted,medium,evidence_player_group_0182,
link_01476,player_0182,char_deedoo,Deedoo,Pumuckl,listed_same_player,accepted,medium,evidence_player_group_0182,
link_01477,player_0183,char_dizz,Dizz,Dizz,listed_same_player,accepted,medium,evidence_player_group_0183,
link_01478,player_0183,char_glithraril,Glithraril,Dizz,listed_same_player,accepted,medium,evidence_player_group_0183,
link_01479,player_0183,char_thilax,Thilax,Dizz,listed_same_player,accepted,medium,evidence_player_group_0183,
link_01480,player_0183,char_valkyria,Valkyria,Dizz,listed_same_player,accepted,medium,evidence_player_group_0183,
link_01481,player_0184,char_elistan,Elistan,Elistan,listed_same_player,accepted,medium,evidence_player_group_0184,
link_01482,player_0184,char_brumbur,Brumbur,Elistan,listed_same_player,accepted,medium,evidence_player_group_0184,
link_01483,player_0184,char_doomer,Doomer,Elistan,listed_same_player,accepted,medium,evidence_player_group_0184,
link_01484,player_0185,char_buggar,Buggar,Buggar,listed_same_player,accepted,medium,evidence_player_group_0185,
link_01485,player_0185,char_drazgan,Drazgan,Buggar,listed_same_player,accepted,medium,evidence_player_group_0185,
link_01486,player_0185,char_durandir,Durandir,Buggar,listed_same_player,accepted,medium,evidence_player_group_0185,
link_01487,player_0185,char_luingil,Luingil,Buggar,listed_same_player,accepted,medium,evidence_player_group_0185,
link_01488,player_0185,char_morgil,Morgil,Buggar,listed_same_player,accepted,medium,evidence_player_group_0185,
link_01489,player_0185,char_nazgoroth,Nazgoroth,Buggar,listed_same_player,accepted,medium,evidence_player_group_0185,
link_01490,player_0185,char_spiffdark,Spiffdark,Buggar,listed_same_player,accepted,medium,evidence_player_group_0185,
link_01491,player_0185,char_adama,Adama,Buggar,listed_same_player,accepted,medium,evidence_player_group_0185,
link_01492,player_0186,char_hanr,Hanr,Hanr,listed_same_player,accepted,medium,evidence_player_group_0186,
link_01493,player_0186,char_bruni,Bruni,Hanr,listed_same_player,accepted,medium,evidence_player_group_0186,
link_01494,player_0186,char_lote,Lote,Hanr,listed_same_player,accepted,medium,evidence_player_group_0186,
link_01495,player_0186,char_arelia,Arelia,Hanr,listed_same_player,accepted,medium,evidence_player_group_0186,
link_01496,player_0187,char_cano,Cano,Cano,listed_same_player,accepted,medium,evidence_player_group_0187,
link_01497,player_0187,char_cerion,Cerion,Cano,listed_same_player,accepted,medium,evidence_player_group_0187,
link_01498,player_0187,char_hrym,Hrym,Cano,listed_same_player,accepted,medium,evidence_player_group_0187,
link_01499,player_0187,char_marras,Marras,Cano,listed_same_player,accepted,medium,evidence_player_group_0187,
link_01500,player_0187,char_sookoll,Sookoll,Cano,listed_same_player,accepted,medium,evidence_player_group_0187,
link_01501,player_0187,char_sufur,Sufur,Cano,listed_same_player,accepted,medium,evidence_player_group_0187,
link_01502,player_0187,char_telith,Telith,Cano,listed_same_player,accepted,medium,evidence_player_group_0187,
link_01503,player_0188,char_aiele,Aiele,Aiele,listed_same_player,accepted,medium,evidence_player_group_0188,
link_01504,player_0188,char_anardil,Anardil,Aiele,listed_same_player,accepted,medium,evidence_player_group_0188,
link_01505,player_0188,char_eckhart,Eckhart,Aiele,listed_same_player,accepted,medium,evidence_player_group_0188,
link_01506,player_0188,char_enso,Enso,Aiele,listed_same_player,accepted,medium,evidence_player_group_0188,
link_01507,player_0188,char_korek,Korek,Aiele,listed_same_player,accepted,medium,evidence_player_group_0188,
link_01508,player_0188,char_marroc,Marroc,Aiele,listed_same_player,accepted,medium,evidence_player_group_0188,
link_01509,player_0188,char_silencio,Silencio,Aiele,listed_same_player,accepted,medium,evidence_player_group_0188,
link_01510,player_0188,char_vishnak,Vishnak,Aiele,listed_same_player,accepted,medium,evidence_player_group_0188,
link_01511,player_0188,char_vold,Vold,Aiele,listed_same_player,accepted,medium,evidence_player_group_0188,
